,ticker,thong tin
1536,APH," Công ty Cổ phần Tập đoàn An Phát Holdings (APH), được thành lập năm 2017. Lĩnh vực kinh doanh chính của Công ty là Sản xuất, bán và kinh doanh thương mại sản phẩm nhựa; Sản xuất sản phẩm và nguyên liệu sinh học phân hủy hoàn toàn; Sản xuất bao bì và hạt nhựa; Kinh doanh nhà xưởng, cho thuê đất và hạ tầng khu công nghiệp...An Phát hiện là doanh nghiệp có quy mô lớn nhất trong lĩnh vực sản xuất sản phẩm nhựa tại Việt Nam. Trong số các doanh nghiệp sản xuất sản phẩm túi nilong trong cả nước vừa phục vụ xuất khẩu vừa phục vụ thị trường nội địa, An Phát là doanh nghiệp có quy mô lớn nhất với sản lượng sản xuất hơn 8.000 tấn/tháng. Ngày 28/07/2020, APH chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  "
104,API," Công ty Cổ phần Đầu tư Châu Á Thái Bình Dương (API) được thành lập năm 2006. Hoạt động kinh doanh chính của Công ty là kinh doanh bất động sản và đầu tư tài chính. Hiện tại công ty hiện đang có quyền sử dụng quỹ đất hơn 600ha từ 2 dự án đã đi vào sử dụng. Phân khúc thị trường mà công ty hướng đến là các khu công nghiệp, khu đô thị và trung tâm thương mại, phân khúc đòi hỏi nguồn vốn lớn và quy mô đầu tư dài hạn. Công ty ngoài đầu tư trong nước còn hợp tác với các đối tác nước ngoài đến từ Anh, Pháp, Nhật Bản, Hàn Quốc để thực hiện các dự án của công ty. Ngày 13/09/2010, API chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).  "
1568,APL,"Công ty Cổ phần Cơ khí và Thiết bị áp lực – VVMI (APL), tiền thân là Xí nghiệp thu hồi vật tư ứ đọng, được thành lập từ năm 1974. Trải qua quá trình 40 năm hình thành và phát triển, Công ty hiện là thành viên của Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP, tập trung tham gia vào 3 lĩnh vực chính là chế tạo sản phẩm cơ khí, sửa chữa các thiết bị máy móc ngành than và kinh doanh thiết bị vật tư phục vụ cho sản xuất và tiêu dùng. Bằng việc đầu tư hệ thống máy móc, thiết bị chuyên dụng, Công ty hiện đang là nhà sản xuất và sửa chữa các sản phẩm nồi hơi, các máy móc thiết bị phục vụ ngành than cho các đơn vị trong và ngoài Tập đoàn Công nghiệp Than Khoáng sản Việt Nam cũng như các đối tác truyền thống trong nước. Bên cạnh đó, Công ty được giao sửa chữa hằng năm các thiết bị mỏ của nhiều thương hiệu như CATERPILLER, Kraz, HOWO…, đồng thời là nhà phân phối của các nhà sản xuất nước ngoài. APL chính thức được giao dịch tại thị trường UPCoM từ năm 2006. "
499,APP," Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ (APP) được thành lập năm 1996 trên cơ sở tách Trung tâm Phụ gia Dầu mỏ từ Viện Hóa học Công nghiệp. Năm 2003, Công ty chuyển sang hoạt động theo mô hình là một Công ty Cổ phần. Công ty là đơn vị chuyên sản xuất các sản phẩm dầu mỡ bôi trơn, dầu phanh, các loại chất lỏng chuyên dụng như các loại nhũ cắt gọt kim loại, nhũ chống lò, nước làm mát; kinh doanh vật tư và các sản phẩm hóa chất, thực hiện các đề tài nghiên cứa khoa học công nghệ và thực hiện chuyển giao công nghệ. Hiện tại công ty có các nhà máy và xưởng đặt tại Hà Nội, Hài Phòng, Quảng Ninh với công suất trên 16.500 tấn/năm/một ca. Hàng năm Công ty sản xuất và cung ứng khoảng 300 - 400 tấn dầu phanh đạt tiêu chuẩn DOT3. Đối thủ cạnh tranh của Công ty là các công ty đa quốc gia như Castrol, Shell, Esso và một số doanh nghiệp sản xuất trong nước như CTCP PLC.   "
58,APS,"Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương (APS) được thành lập năm 2006. Năm 2006, công ty được Ủy ban chứng khoán Nhà nước cấp giấy phép hoạt động trong lĩnh vực kinh doanh chứng khoán. Công ty cung cấp dịch vụ môi giới, tư vấn và đầu tư tài chính, bảo lãnh phát hành chứng khoán. Trong năm 2022, Doanh thu nghiệp vụ môi giới chứng khoán có giá trị bằng 13.18 tỷ đồng, giảm 39.12%. Lợi nhuận trước thuế đạt -561.72 tỷ đồng, giảm 179.93%. Tỷ lệ sinh lời trên vốn chủ sở hữu (ROE) ở mức -37.87 %, giảm 160.92%. APS được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2010. "
656,APT,"Công ty Cổ phần Kinh doanh Thủy Hải sản Sài Gòn (APT), tiền thân là Công ty Kinh doanh Thủy hải sản, được thành lập từ năm 1976. APT được chuyển đổi mô hình hoạt động từ Công ty Nhà nước sang công ty Cổ phần từ tháng 01 năm 2007. Hoạt động kinh doanh chính của công ty là: Nuôi trồng thủy sản; Mua bán vật tư phục vụ ngành nuôi trồng thủy sản; mua bán, chế biến thủy hải sản; gia công các mặt hàng thủy hải sản; sản xuất, mua bán thức ăn gia súc. Thị trường xuất khẩu chính là EU, USA, Australia, Japan, Korea, ASEAN. Đối với thị trường nội địa, sản phẩm công ty được cung ứng cho các tập đoàn bán sĩ, lẻ, các hệ thống siêu thị lớn trong cả nước như METRO, Big C, Coop-Mart, Maximart, Lotte Mart. Hiện nay công ty chế biến hàng năm 20.000-30.000 tấn thủy hải sản các loại, trong đó 60% dành cho xuất khẩu. Sản phẩm của công ty đã có mặt trên 25 quốc gia. Ngày 07/06/2019, APT chính thức giao dịch trên thị trường UPCOM. "
1483,ARM," Công ty Cổ phần Xuất nhập khẩu Hàng không (ARM), tiền thân là Công ty Xuất nhập khẩu Chuyên ngành và Dịch vụ Hàng không được thành lập năm 1989. Năm 2006, Công ty chuyển đổi mô hình kinh doanh hoạt động là một Công ty Cổ phần. Công ty hoạt động chính trong lĩnh vực bán hàng hóa; ủy thác nhập khẩu; kinh doanh, phân phối thiết bị phụ tùng cho ngành hàng không. Với 40 kinh nghiệm, công ty đã tạo lập mối quan hệ hợp tác lâu năm với các nhà cung cấp, đối tác, bạn hàng lớn như Hãng Hàng không Quốc gia - Vietnam Airlines, Tập đoàn Điện lực Việt Nam, Tập đoàn Dầu khí Quốc gia Việt Nam, Công ty Trực thăng Miền Bắc. ARM là công ty là thành viên của Tổng Công ty Hàng không Việt Nam do đó Công ty nhận được hỗ trợ rất lớn về vốn, công nghệ, thị trường tiêu thụ sản phẩm từ phía Tổng công ty. Ngày 26/10/2010, ARM chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).  "
68,ART,"Công ty cổ phần Chứng khoán BOS (ART), tiền thân là Công ty Cổ phần Chứng khoán Artex được thành lập năm 2008. Công ty hoạt động trong lĩnh vực cung cấp dịch vụ môi giới chứng khoán; (ii) tự doanh chứng khoán; (iii) dịch vụ chứng khoán, lưu ký; (iv) tư vấn, phân tích đầu tư. Công ty trở thành công ty đại chúng vào tháng 10/2010. Trong năm 2021, Doanh thu nghiệp vụ môi giới chứng khoán có giá trị bằng 35.36 tỷ đồng, tăng 8.91% so với cùng kỳ. Nợ vay ký quỹ/Vốn chủ sở hữu ở mức 14.72%. Lợi nhuận trước thuế có giá trị bằng 37.1 tỷ đồng, tăng 2264.51% so với cùng kỳ. Tỷ lệ sinh lời trên vốn chủ sở hữu (ROE) là 2,97%. Ngày 25/08/2023, ART chính thức giao dịch trên thị trường UPCOM. "
746,ASA,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;"">Công ty Cổ phần ASA (ASA), tiền thân là chi nhánh công ty TNHH Thương Mại SANA,&nbsp;được thành&nbsp;lập từ năm 2007. Công ty&nbsp;chuyên sản xuất và kinh doanh các mặt hàng bao gồm nước uống đóng chai, các sản phẩm chăm sóc tóc, sữa tắm, dầu ăn và một số lĩnh vực khác như kinh doanh thép, sản phẩm may mặc. Sản phẩm chính của công ty là ba nhãn hiệu đã được đăng ký bảo hộ tại Việt Nam là dầu gội Ebonny, dầu ăn Viancook, và nước uống Aquaplus. ASA là doanh nghiệp trong top ba nhà sản xuất các sản phẩm chăm sóc tóc, chăm sóc da lớn nhất cả nước. Các sản phẩm của Công ty được tiêu thụ mạnh ở thị trường các tỉnh Nam Định, Thái Bình, Thanh Hóa, Nghệ An, Vĩnh Phúc, Hà Nội, ...Xác định thị trường mục tiêu là người tiêu dùng bình dân, nhãn hiệu “eBonny” hay “Vian cook” đã rất gần gũi với người lao động từ năm 2007 đến nay. Sản phẩm nước tinh khiết mang nhãn hiệu “Aquaplus” cũng đã chinh phục được đông đảo người tiêu dùng, đặc biệt là tại thành phố lớn. Ngày 21/06/2019, ASA chính thức giao dịch trên thị trường UPCOM.</DIV>"
1372,ASG,"Công ty Cổ phần Tập đoàn ASG (ASG) có tiền thân là Công ty Cổ phần Dịch vụ Bưu chính Interserco – IPX được thành lập vào năm 2010. Công ty hoạt động trong lĩnh vực cung cấp dịch vụ phục vụ hàng hóa hàng không, dịch vụ phục vụ hành khách hàng không, dịch vụ vận tải hàng hóa và hành khách và dịch vụ khai thác kho bãi;. ASG trở thành công ty đại chúng từ năm 2018. ASG đang triển khai dịch vụ phục vụ hàng hóa hàng không bao gồm dịch vụ kho hàng không kéo dài và các dịch vụ liên quan tại nhà ga hàng hóa với tổng công suất phục vụ khoảng 360 nghìn tấn – 540 nghìn tấn/năm. Bên cạnh đó, ASG hiện sở hữu và khai thác hệ thống kho bãi với quy mô 21.000 m2 tại Khu Dịch vụ Logistics Nội Bài – Hà Nội, Khu Công nghiệp Yên Phong – Bắc Ninh và Khu Công nghiệp Yên Bình – Thái Nguyên. "
592,ASM,"Công ty Cổ phần Tập đoàn Sao Mai (ASM) có tiền thân là Công ty Cổ phần Đầu tư và Xây dựng Sao Mai tỉnh An Giang được thành lập vào năm 1997. Công ty hoạt động trong lĩnh vực xuất khẩu thủy sản, đầu tư xây dựng, kinh doanh bất động sản, phụ phẩm, và dịch vụ du lịch. ASM đã tham gia đầu tư phát triển gần 100 dự án bất động sản trải dài khắp cả nước. Công ty sở hữu Nhà máy Thủy sản với công suất 600 tấn nguyên liệu/ngày, Nhà máy chế biến thức ăn thủy sản với công suất 378.000 tấn/năm và nhà máy tinh luyện dầu cá của ASM với công suất 200 tấn/ngày. Bên cạnh đó, Công ty còn cung cấp dịch vụ du lịch lữ hành, nghỉ dưỡng, và lắp đặt hệ thống năng lượng mặt trời thông qua các công ty con. ASM được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2010. "
279,ASP," Công ty Cổ phần Tập đoàn Dầu khí Anpha (ASP), tiền thân là Công ty Gia Đình được thành lập năm 1999. Năm 2004, Chuyển đổi mô hình kinh doanh và đổi tên thành Công ty Cổ phần Dầu khí AnPha. Hoạt động kinh doanh chính là mua bán khí hoá lỏng, vật tư thiết bị dầu khí, vận tải sản phẩm dầu khí theo đường bộ, đường biển. Công ty sở hữu 2 khó chứa LPG lớn gồm 1 tại cảng Đình vũ - Hải phòng có sức chứa 1.800 tấn và tải cảng Bourbon - Long an có sức chứa 1.300 tấn, ngoài ra còn có trạm chiết gas tại các công ty thành viên với tổng sức chứa khoảng 600 tấn. Sở hữu 2 trạm chiết áp lớn tại Ninh hiệp và Bến Lức, tổng công suất khoảng 150.000 tấn/năm. và đội xe vận chuyển gas chuyên dụng khoảng 100 chiếc. Việc sở hữu một hệ thống hoàn chỉnh từ khâu nhập khẩu, vận tải, tồn trữ đến phân phối bán buôn, bán lẻ trên địa bàn toàn quốc với qui mô lớn như vậy đã tạo cho công ty ưu thế về tính chủ động trong điều tiết nguồn hàng, dự trữ khi cần thiết cũng như đa dạng trong kinh doanh LPG ( bán buôn, bán lẻ gas dân dụng). Ngày 15/02/2008, ASP chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE)  "
918,AST,"Công ty Cổ phần Dịch vụ Hàng không Taseco (AST) có tiền thân là Công ty Cổ phần Dịch vụ Hàng không Taseco Nội Bài được thành lập vào năm 2015. Năm 2017, Công ty chuyển đổi mô hình kinh doanh, thành Công ty Cổ phần Dịch vụ Hàng không Taseco. Công ty hoạt động trong lĩnh vực cung cấp dịch vụ nhà hàng, bán hàng bách hóa, lưu niệm tại sân bay, kinh doanh khách sạn, dịch vụ quảng cáo và sản xuất cung cấp xuất ăn hàng không. Mạng lưới hoạt động dinh doanh của AST rộng khắp các cảng hàng không quốc tế trên cả nước. Chuỗi dịch vụ của Taseco Airs có mặt trên các sân bay từ miền Bắc (Sân bay quốc tế Nội Bài, Sân bay quốc tế Vân Đồn) vào miền Trung (Sân bay Quốc tế Đà Nẵng và Sân bay quốc tế Phú Bài – Huế) đến miền Nam (Sân bay Quốc tế Tân Sơn Nhất và Sân bay quốc tế Phú Quốc). Ngày 04/01/2018, AST chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE). "
593,ATA," Công ty Cổ phần NTACO (ATA) tiền thân là là Công ty TNHH Tuấn Anh thành lập năm 2000. Năm 2007 chuyển thành công ty cổ phần. Hoạt động chính là chế biến xuất khẩu các sản phẩm từ cá tra như cá tra fillet các loại, cá tra nguyên con, cá tra lăn bột các loại cấp đông. Trong đó, doanh thu cá tra fillet các loại chiếm tới 90%. Sản phẩm của NTACO được sản xuất trên dây chuyền máy móc hiện đại như máy nén lạnh Mycom (Nhật Bản), máy cấp đông Jackstone (Anh), Gunner (Đức), công suất hoạt động của nhà máy hiện hữu là từ 80 đến 100 tấn nguyên liệu/ngày và được xuất khẩu sang Mỹ, Châu Âu. Hiện nay NTACO là doanh nghiệp duy nhất ở Việt Nam được chứng nhận làm cá sinh thái do Tập đoàn IMO thuộc hệ thống NATURELAND cấp. Ngày 17/02/2017, ATA chính thức được giao dịch trên thị trường UPCOM.  "
1029,ATB,"Công ty Cổ phần An Thịnh (ATB) có tiền thân là Xí nghiệp Xây dựng Yên Thái, được thành lập vào năm 1994. Công ty hoạt động chủ yếu trong lĩnh vực thi công xây dựng công trình kỹ thuật dân dụng. ATB chính thức hoạt động theo mô hình công ty cổ phần từ năm 2014. Địa bàn kinh doanh chủ yếu của công ty là tỉnh Bắc Kạn, Thái Nguyên, Yên Bái và Lạng Sơn. Công ty đã tham gia thi công xây lắp các công trình lớn như đường du lịch Nàng Tiên, đường nội bộ thị trấn Yên Lạc, Gói thầu số 3 - Xây lắp đường từ Cầu Tranh đến trường THPT, dự án nâng cấp cải tạo đường quốc lộ 3N trên địa bàn tỉnh Bắc Kạn, gói thầu số 06 - công trình thủy lợi Hồ Lái Bay...ATB được giao dịch trên thị trường UPCOM từ tháng 08/2017. "
453,ATG,"Công ty cổ phần An Trường An (ATG), tiền thân là Công ty TNHH An Trường An được thành lập vào năm 2005 với . Hoạt động chính trong ngành khai thác khoáng sản, đặc biệt là quặng Titan, Công ty hiện đang hoạt động khai thác tại mỏ quặng ở Bình Thuận với trữ lượng sản xuất đạt 800 nghìn tấn mỗi năm. Bên cạnh khai thác và chế biến sâu quặng kim loại, Công ty còn khai thác mỏ cát ở Tuy Phước có trữ lượng 700 nghìn tấn/năm. Công ty cũng tham gia vào lĩnh vực đầu tư xây dựng và kinh doanh hạ tầng khu công nghiệp, cung cấp dịch vụ du lịch nghỉ dưỡng và nhà hàng tiệc cưới trên địa bàn tỉnh. Địa bàn kinh doanh chính của công ty là Bình Định, Hà Nội, Bình Thuận,... Ngày 14/05/2021, ATG chính thức giao dịch trên thị trường UPCOM. "
844,ATS,"Công ty Cổ phần Tập đoàn Dược phẩm Atesco (ATS), tiền thân là Công ty TNHH Thương mại và Dịch vụ Giải trí Mùa Thu được thành lập vào ngày 01 tháng 12 năm 1998. Atesco chuyên cung cấp dịch vụ suất ăn công nghiệp. Bên cạnh đó, Công ty đang quản lý và vận hành Trung tâm Hội nghị Cung Văn Quán, khách sạn The Time tại Phố cổ Hà Nội, và một khu sản xuất chế biến suất ăn công nghiệp tại Khu công nghiệp Đại An, tỉnh Hải Dương. Và Công ty bắt đầu có những bước tiến đầu tiên vào lĩnh vực kinh doanh bất động sản với dự án ""Khu biệt thự, căn hộ cao cấp mùa Thu"" tại khu kinh tế Dung Quất, Quảng Ngãi. ATS chính thức được niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ ngày 10/03/2016. "
229,AVC,"Công ty Cổ phần Thủy điện A Vương (AVC) được thành lập vào năm 2003. Hoạt động sản xuất chính của Công ty là sản xuất, truyền tải và phân phối điện. AVC trở thành công ty đại chúng từ năm 2017. Công ty là đơn vị trực tiếp quản lý và vận hành nhà máy thủy điện A Vương với công suất 210 MW/năm và tổng sản lượng điện hàng năm là 815 triệu kWh. AVC được giao dịch trên thị trường UPCOM từ tháng 01/2018. "
594,AVF,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;""> <P>Công ty Cổ phần Việt An tiền thân là Công ty TNHH Angiang - Basa được thành lập năm 2004. Vốn điều lệ hiện tại là&nbsp;433,38 tỷ đồng. Hoạt động kinh doanh của Công ty tập trung chủ yếu vào sản xuất chế biến xuất khẩu các sản phẩm từ cá tra như cá tra fillet, các tra cắt khúc, cá tra nguyên con cấp đông... Trong đó doanh thu các tra fillet chiếm tới 90% doanh thu trung bình hàng năm của Công ty. Công ty là doanh nghiệp có quy mô lớn&nbsp;ở Đồng bằng sông Cửu Long với 2 xí nghiệp chế biến là An Thịnh (công suất 100 tấn/ngày) và Việt Thắng (công suất 150 tấn/ngày) và có 1 vùng nuôi cá tra (hơn 17 ha) và 5 vùng liên kết. Công ty còn sở hữu hệ thống kho lạnh với công suất 40.000 tấn tại Khu công nghiệp&nbsp;Long Hậu. </P></DIV>"
1030,B82,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;""> <P>Công ty Cổ phần 482 (B82) có&nbsp;tiền thân là Xí nghiệp Đường sắt 769 có nhiệm vụ đảm bảo giao thông vùng khu bốn cũ, đến năm 1982 đổi thành Xí nghiệp Đường sắt 482. Năm 2004 chuyển sang hoạt động theo mô hình cổ phần. Công ty hoạt động trong lĩnh vực xây dựng hạ tầng, công trình thủy lợi, giao thông, gia công lắp đặt cấu kiện bê tông đúc sẵn. Công ty đã tham gia thi công nhiều công trình giao thông (đường bộ, đường sắt), thủy lợi, thủy điện trọng điểm quốc gia như: Đường đầu cầu Đà Rằng, Bồng Sơn; đường Đăk Tả - Ngọc Linh; đường Hồ Chí Minh – Kontum; đường Hồ Chí Minh – Quảng Bình; đường Hồ Chí Minh – Alưới; đường Quốc lộ 8; đường nối cảng Vũng Áng đi biên giới Việt Lào; Quốc lộ 9 – Quảng Trị; Quốc lộ 1A – Vinh – Đông Hà; đường Hồ Chí Minh về quê Bác, đường Quốc lộ 7 – Quốc lộ 48; đường vào khu tái định cư Hạnh Lâm – Thanh Chương; đường đi cửa khẩu Thanh Thủy, cầu Tuệ Tĩnh – Nghệ An, đường Tránh – TP.Vinh; Quốc lộ 3 – Bắc Cạn; Quốc lộ 6 – Sơn La – Hòa Bình. Ngày 31/08/2018, B82 chính thức giao dịch trên thị trường UPCOM.</P></DIV>"
379,BAB," Ngân hàng Thương mại Cổ phần Bắc Á (BAB) được thành lập vào năm 1994. Ngân hàng hoạt động chủ yếu trong lĩnh vực huy động vốn và cho vay tín dụng. BAB trở thành công ty đại chúng từ năm 2011. BAB là một trong những ngân hàng có quy mô vừa trong hệ thống ngân hàng thương mại của Việt Nam. Khách hàng mục tiêu của ngân hàng là các doanh nghiệp hoạt động ở lĩnh vực ứng dụng công nghệ cao trong nông nghiệp, nông thôn và các ngành công nghiệp hỗ trợ cho ngành nông nghiệp. Trong năm 2012, ngân hàng Bắc Á tư vấn thành công cho dự án TH True Milk. Trong năm 2022, Biên lãi thuần (NIM) ở mức 2,21%, tăng 0,23% so với cùng kỳ. Tỷ lệ nợ xấu ở mức 0.55%. Tỷ lệ bao phủ nợ xấu ở mức 203,77%. Lợi nhuận sau thuế có giá trị bằng 832,5 tỷ đồng, tăng 14,62% so với cùng kỳ. Tỷ suất lợi nhuận trên vốn chủ sở hữu (ROE) ở mức 8,83%. BAB được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ tháng 03/2021.   "
595,BAF,"Công ty cổ phần Nông nghiệp BAF Việt Nam (BAF) là một doanh nghiệp được hình từ năm 2017. Công ty hoạt động chính trong lĩnh vực chăn nuôi, phân phối giống vật nuôi, kinh doanh nông sản và chế biến thức ăn gia súc. Hoạt động kinh doanh của BAF được thực hiện theo mô hình khép kín 3F bao gồm thức ăn, trang trại và chế biến. Hiện tại, Công ty có 1 nhà máy sản xuất thức ăn gia súc với công suất 4.500 tấn/tháng, thực hiện cung cấp thức ăn chăn nuôi cho các trang trại của BAF. BaF đã sở hữu hệ thống 28 trại nuôi heo nái và heo thịt, bao gồm 17 trại đã vận hành và 11 trại đang phát triển trên cả nước. Trong số đó có 13 trang trại được xây dựng tại Tây Ninh.Các sản phẩm của BAF được phân phối thông qua các kênh truyền thống và hệ thống siêu thị. Ngày 03/12/2021, BAF chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE). "
1537,BAL,"Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát (BAL) có tiền thân là Nhà máy Thủy tinh Hải Phòng, được xây dựng vào năm 1958 với sự hỗ trợ của Cộng Hòa Dân chủ Đức. BAL chính thức hoạt động theo mô hình công ty cổ phần từ năm 2005. Là Công ty con của Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội (Habeco), BAL được tạo điều kiện để tham gia sản xuất nắp chai kim loại phục vụ ngành bia rượu và nước giải khát và làm đại lý cấp một cho Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội (Habeco) với hai mặt hàng chính là bia chai 450ml và bia lon Hà Nội. Bên cạnh đó, Công ty còn cung cấp dịch vụ cho thuê kho bãi, cầu cảng. BAL được giao dịch trên thị trường UPCOM từ tháng 01/2018. "
1284,BAX,"Công ty Cổ phần Thống Nhất (BAX) được thành lập năm 2004 dưới sự góp vốn của 3 cổ đông sáng lập: Tổng công ty Tín Nghĩa, Tổng Công ty Cao su Đồng Nai, Tập đoàn Công nghiệp Cao su Việt Nam. Công ty hoạt động chủ yếu trong lĩnh vực đầu tư phát triển và kinh doanh cơ sở hạ tầng khu công nghiệp. BAX quản lý và kinh doanh cơ sở hạ tầng Khu Công nghiệp Bàu Xéo với tổng diện tích 499,8657ha tại huyện Trảng Bom, tỉnh Đồng Nai. Bên cạnh đó, BAX đang triển khai thực hiện Khu Trung tâm Dịch vụ Khu Công nghiệp Bàu Xéo có diện tích 38,8 ha với tổng vốn đầu tư cơ sở hạ tầng là 648,69 tỷ đồng. BAX chính thức được giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hà Nội (HNX) từ năm 2017. "
597,BBC," Công ty Cổ phần Bibica (BBC), tiền thân Công ty Cổ phần Bánh Kẹo Biên Hòa với thương hiệu Bibica, được thành lập năm 1999. Hoạt động kinh doanh chính của Công ty là sản xuất, phân phối các sản phẩm bánh kẹo như: Bánh quy, bánh cookies, bánh layer cake, chocolate, kẹo cứng, kẹo mềm, kẹo dẻo, snack, bột ngũ cốc dinh dưỡng, bánh trung thu, mạch nha. BBC đã phát triển hệ thống phân phối trải khắp các tỉnh thành trên toàn quốc với 160 nhà phân phối độc quyền, 150.000 điểm bán lẻ, hơn 3.000 siêu thị và chuỗi cửa hàng tiện lợi trên toàn quốc. Sản phẩm của Công ty được xuất khẩu đi hơn 16 quốc gia và vùng lãnh thổ. Công ty cổ phần Bibica là một trong những công ty sản xuất và kinh doanh bánh kẹo hàng đầu tại Việt Nam và có thương hiệu rất quen thuộc với người tiêu dùng. Mỗi năm công ty có thể cung cấp cho thị trường hơn 20.000 tấn bánh kẹo các loại như : bánh tết, bánh hura, bánh quy, socola, bánh trung thu, kẹo cứng, kẹo mềm,…Ngoài cung cấp các sản phẩm bánh kẹo trong thị trường nội địa, công ty còn cung cấp một số sản phẩm sang nước ngoài như Mỹ, Đức, Nam Phi. Ngày 19/12/2001, BBC chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  "
1538,BBH,"Công ty Cổ phần Bao bì Hoàng Thạch (BBH) được thành lập vào năm 1999. Công ty hoạt động chính trong lĩnh vực sản xuất kinh doanh các loại bao bì, với sản phẩm chính là vỏ bao xi măng. BBH trở thành công ty đại chúng từ cuối năm 2019. BBH quản lý vận hành dây chuyền sản xuất vỏ bao với công suất 60 triệu vỏ bao/năm. Công ty có lợi thế về địa lý do nằm tại khu vực gần Công ty TNHH MTV Xi măng Vicem Hoàng Thạch - thị trường tiêu thụ chính, gần cảng sông, đường quốc lộ, xung quanh có nhiều nhà máy xi măng. Một số khách hàng truyền thống của Công ty là thành viên của Tổng Công ty Xi măng Việt Nam như: Công ty TNHH MTV Xi măng Vicem Hoàng Thạch, Công ty Xi măng Thăng Long, Công ty Xi măng Cẩm Phả, Công ty Xi măng Hạ Long. BBH được giao dịch trên thị trường UPCOM từ tháng 05/2020. "
699,BBM,"Công ty Cổ phần Bia Hà Nội - Nam Định (BBM) có tiền thân là một Xưởng sản xuất Bánh mỳ do Ba Lan viện trợ được thành lập năm 1969. Công ty được đổi tên thành Công ty Cổ phần Bia Hà Nội – Nam Định năm 2017 và trở thành công ty con của Tổng Công ty Bia – Rượu – Nước giải khát Hà Nội (HABECO). Công ty chuyên sản xuất kinh doanh các sản phẩm Bia hơi Hà Nội, Bia hơi Hà Nội – Nam Định và Bánh mỳ Ba Lan. Công ty sở hữu dây chuyền sản xuất với công suât 5.000.000 lít bia và 3 xưởng bánh mỳ với tổng công suất 15.000 tấn bánh mì mỗi năm. BBM được giao dich trên thị trường UPCOM từ tháng 01/2018. "
1539,BBS," Công ty Cổ phần VICEM Bao bì Bút Sơn (BBS) có tiền thân là Công ty Bao bì Xi măng Nam Hà được thành lập vào năm 1996. Năm 2003, công ty được cổ phần hóa. Công ty là đơn vị chuyên sản xuất vỏ bao xi măng với công suất từ 75 - 80 triệu sản phẩm/năm. Sản phẩm vỏ bao xi măng của công ty đã được các khách hàng đánh giá là sản phẩm có chất lượng cao và ổn định trên thị trường. Hiện nay công ty đã và đang cung cấp vỏ bao xi măng cho các nhà máy xi măng lớn trong nước như Công ty xi măng Bút Sơn tiêu thụ trên 70% sản lượng của công ty, Công ty Xi măng Bỉm Sơn, Công ty Xi măng Hoàng Mai, Công ty Xi măng Nghi Sơn.  "
748,BBT,"Công ty Cổ phần Bông Bạch Tuyết được thành lập năm 1960 có tiền thân là nhà máy Cobovina Bạch Tuyết . Lĩnh vực kinh doanh chủ yếu cảu công ty là sản xuất, kinh doanh các loại bông gạc y tế và các sản phẩm khác từ bông, gạc, vật tư y tế tiêu hao và trang thiết bị y tế với dây chuyền hiện đại, tiên tiến nhất châu Âu. Bông Bạch Tuyết là lựa chọn uy tín hàng đầu của các bệnh viện lớn ở khắp các tỉnh thành trong cả nước. Một số khách hàng tổ chức lớn của Bông Bạch Tuyết: Bệnh viện (BV) Chợ Rẫy, BV Thống Nhất, BV Nhi Trung Ương, BV Nhiệt đới... Ngày 12 tháng 6 năm 2018, BBT chính thức giao dịch trên sàn UPCoM. "
407,BCA,"Công ty Cổ phần B.C.H (BCA) được thành lập vào năm 2004. Hoạt động chính trong lĩnh vực phân phối và thương mại các sản phẩm thép. Công ty hiện đang sở hữu 1 nhà máy phôi thép có quy mô 600 tỷ VNĐ. Thị trường chính của công ty là khu vực miền Bắc, một số đối tác của công ty có thể kể đến như CTCP Gang thép Thái Nguyên, Tập đoàn Hòa Phát,… BCA chính thức được giao dịch trên thị trường Upcom từ ngày 8/9/2021 "
